Data,Fase,Categoria,Tema,Visualizacoes,Curtidas,Comentarios,Compartilhamentos,Engajamento
2024-10-03,reta-final,midia,Matéria ES Agora: 67% acredita em vitória,15200,34,77,0,111
2024-10-04,reta-final,evento,Visitas Ipanema e Ouro Branco,14800,376,12,8,396
2024-10-04,reta-final,testemunho,Depoimento de Fabiana,9900,218,16,19,253
2024-10-04,reta-final,testemunho,Muito obrigado por cada abraço (véspera),31800,872,113,258,1243
2024-10-04,reta-final,proposta,"Para mudar, digite 11 (com deputado)",8300,173,3,9,185
2024-10-05,reta-final,marco,Nota de felicidade: amanhã é dia de mudar a história,17200,341,25,26,392
2024-10-05,reta-final,evento,Último vídeo da campanha,12500,291,3,9,303
2024-10-06,resultado,resultado,Muito obrigado pelos 5.779 votos,31000,1627,191,23,1841
2024-10-06,resultado,resultado,Celebração nas ruas (registro 2),41200,1218,106,158,1482
2024-10-06,resultado,resultado,"Parabéns, prefeito eleito!",12700,446,21,12,479
2024-10-06,resultado,resultado,Celebração nas ruas (registro 1),25000,922,62,19,1003
