DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;SQ_CANDIDATO;NR_ORDEM_CANDIDATO;CD_TIPO_BEM_CANDIDATO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO;DT_ULTIMA_ATUALIZACAO;HH_ULTIMA_ATUALIZACAO
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001023;1;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;FIAT PALIO ESSENCE 1.6 ANO 2013/2013;33000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001024;1;13;Terreno;TERRENO RURAL 25 HA - SÃO FRANCISCO DE URANIA - SÃO BENTO DE URANIA - ALFREDO CHAVES - ES;300000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001024;2;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;MICROTRATOR YAMAHA 2011;20000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001025;1;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;PALIO 1.4 2008/2009;15000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001025;2;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;KOMBI 1.4 - 12 LUGARES - 2012;30000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001025;3;11;Apartamento;APT NO EDIFÍCIO ANTONIO BAZZARELLA NA RUA GOIAS, N. 131, ITAPUÃ - VILA-VELHA ES;600000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001026;1;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;MOTO HONDA 150 2009;4000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001027;1;12;Casa;CASA RUA OSVALDO SAUDINO, 95, CENTRO, ALFREDO CHAVES -ES;50000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001028;1;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;FORD COURRIER L 1.6 2009 2010;15000,00;12/07/2018;16:35:38
18/02/2021;12:06:52;2016;2;Eleição Ordinária;220;Eleições Municipais 2016;02/10/2016;ES;56057;ALFREDO CHAVES;80000001028;2;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;MOTO HONDA CG 125 TODAY 1991;1000,00;12/07/2018;16:35:38
