"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";80000061559;"RECONSTRUÇÃO COM SERIEDADE";"PP / PSL / PODE / CIDADANIA / DEM / PSB / PSDB";"N";0;0;0;5196;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;11;"Prefeito";"Partido isolado";12;"PDT";"Partido Democrático Trabalhista";-1;"#NULO#";"#NULO#";"#NULO#";80000125916;"PARTIDO ISOLADO";"PDT";"N";0;0;0;336;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";"Partido isolado";45;"PSDB";"Partido da Social Democracia Brasileira";-1;"#NULO#";"#NULO#";"#NULO#";80000059662;"PARTIDO ISOLADO";"PSDB";"N";26;0;26;1223;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;11;"Prefeito";"Coligação";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";80000062156;"MUDANÇA COM TRANSPARÊNCIA ";"PTB / REPUBLICANOS / PATRIOTA";"N";0;0;0;3681;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";"Partido isolado";51;"PATRIOTA";"Patriota";-1;"#NULO#";"#NULO#";"#NULO#";80000062058;"PARTIDO ISOLADO";"PATRIOTA";"N";9;0;9;880;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";"Partido isolado";14;"PTB";"Partido Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";80000062328;"PARTIDO ISOLADO";"PTB";"N";19;0;19;1353;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";80000062230;"PARTIDO ISOLADO";"REPUBLICANOS";"N";88;0;88;1194;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";80000059654;"PARTIDO ISOLADO";"PSB";"N";218;0;218;3242;0;0;0;0
"06/01/2026";"16:45:04";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56057";"ALFREDO CHAVES";56057;"ALFREDO CHAVES";12;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";80000091373;"PARTIDO ISOLADO";"PP";"N";27;0;27;951;0;0;0;0
