DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;QT_APTOS;QT_SECOES_PRINCIPAIS;QT_SECOES_AGREGADAS;QT_SECOES_NAO_INSTALADAS;QT_TOTAL_SECOES;QT_COMPARECIMENTO;QT_ELEITORES_SECOES_NAO_INSTALADAS;QT_ABSTENCOES;ST_VOTO_EM_TRANSITO;QT_VOTOS;QT_VOTOS_CONCORRENTES;QT_TOTAL_VOTOS_VALIDOS;QT_VOTOS_NOMINAIS_VALIDOS;QT_TOTAL_VOTOS_LEG_VALIDOS;QT_VOTOS_LEG_VALIDOS;QT_VOTOS_NOM_CONVR_LEG_VALIDOS;QT_TOTAL_VOTOS_ANULADOS;QT_VOTOS_NOMINAIS_ANULADOS;QT_VOTOS_LEGENDA_ANULADOS;QT_TOTAL_VOTOS_ANUL_SUBJUD;QT_VOTOS_NOMINAIS_ANUL_SUBJUD;QT_VOTOS_LEGENDA_ANUL_SUBJUD;QT_VOTOS_BRANCOS;QT_TOTAL_VOTOS_NULOS;QT_VOTOS_NULOS;QT_VOTOS_NULOS_TECNICOS;QT_VOTOS_ANULADOS_APU_SEP;HH_ULTIMA_TOTALIZACAO;DT_ULTIMA_TOTALIZACAO
08/11/2022;10:47:57;2004;2;Eleição Ordinária;1;200412;Eleições Municipais de 2004 - 1. turno;03/10/2004;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;11;Prefeito;9247;33;2;0;35;8492;0;755;N;8492;7966;7972;7972;0;0;0;0;0;0;0;0;0;157;360;363;0;0;00:00:00;03/10/2004
08/11/2022;10:47:57;2004;2;Eleição Ordinária;1;200412;Eleições Municipais de 2004 - 1. turno;03/10/2004;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;13;Vereador;9247;33;2;0;35;8492;0;755;N;8492;8180;7732;7732;454;0;0;0;0;0;0;0;0;107;196;199;0;0;00:00:00;03/10/2004
