"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_LOCAL_VOTACAO";"NM_LOCAL_VOTACAO";"CD_GENERO";"DS_GENERO";"CD_ESTADO_CIVIL";"DS_ESTADO_CIVIL";"CD_FAIXA_ETARIA";"DS_FAIXA_ETARIA";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"CD_RACA_COR";"DS_RACA_COR";"CD_IDENTIDADE_GENERO";"DS_IDENTIDADE_GENERO";"CD_QUILOMBOLA";"DS_QUILOMBOLA";"CD_INTERPRETE_LIBRAS";"DS_INTERPRETE_LIBRAS";"TP_OBRIGATORIEDADE_VOTO";"QT_ELEITORES_PERFIL";"QT_ELEITORES_BIOMETRIA";"QT_ELEITORES_DEFICIENCIA";"QT_ELEITORES_INC_NM_SOCIAL"
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;24;1147;"SALÃO COMUNITÁRIO DE SÃO BENTO DE URÂNIA";2;"MASCULINO";1;"SOLTEIRO";7074;"70 a 74 anos";2;"LÊ E ESCREVE";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Facultativo";1;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;30;1171;"EEEFM CAMILA MOTA";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos";8;"SUPERIOR COMPLETO";3;"Parda";1;"Cisgênero";2;"NÃO";2;"NÃO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;31;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";4549;"45 a 49 anos";3;"ENSINO FUNDAMENTAL INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";3;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;31;1171;"EEEFM CAMILA MOTA";2;"MASCULINO";1;"SOLTEIRO";6064;"60 a 64 anos";6;"ENSINO MÉDIO COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;38;1244;"CRECHE PEQUERRUCHOS";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos";3;"ENSINO FUNDAMENTAL INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;10;1040;"EEEF DE CRUBIXÁ";2;"MASCULINO";1;"SOLTEIRO";3539;"35 a 39 anos";4;"ENSINO FUNDAMENTAL COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;37;1228;"CRECHE COMECINHO DE GENTE";2;"MASCULINO";3;"CASADO";6064;"60 a 64 anos";4;"ENSINO FUNDAMENTAL COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;33;1171;"EEEFM CAMILA MOTA";2;"MASCULINO";1;"SOLTEIRO";3539;"35 a 39 anos";3;"ENSINO FUNDAMENTAL INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";4;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;25;1155;"EEUEF CAROLINA";4;"FEMININO";3;"CASADO";3034;"30 a 34 anos";8;"SUPERIOR COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;2;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;5;1015;"EMEF ANA ARAÚJO";4;"FEMININO";3;"CASADO";5054;"50 a 54 anos";6;"ENSINO MÉDIO COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;21;1120;"EMUEF QUARTO TERRITÓRIO";2;"MASCULINO";9;"DIVORCIADO";5559;"55 a 59 anos";6;"ENSINO MÉDIO COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;8;1023;"GINÁSIO DE ESPORTES DE ALFREDO CHAVES";4;"FEMININO";1;"SOLTEIRO";6569;"65 a 69 anos";7;"SUPERIOR INCOMPLETO";1;"Branca";1;"Cisgênero";2;"NÃO";2;"NÃO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";4;"FEMININO";1;"SOLTEIRO";3539;"35 a 39 anos";6;"ENSINO MÉDIO COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;4;1015;"EMEF ANA ARAÚJO";4;"FEMININO";5;"VIÚVO";9599;"95 a 99 anos";2;"LÊ E ESCREVE";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Facultativo";1;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;12;1058;"GINASIO DE ESPORTES DE IBITIRUÍ";4;"FEMININO";9;"DIVORCIADO";2529;"25 a 29 anos";6;"ENSINO MÉDIO COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;32;1031;"EMEF FAZENDA APARECIDA";4;"FEMININO";1;"SOLTEIRO";2000;"20 anos";5;"ENSINO MÉDIO INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";2;"MASCULINO";3;"CASADO";4549;"45 a 49 anos";3;"ENSINO FUNDAMENTAL INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;22;1139;"EMEF SAGRADA FAMÍLIA";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos";6;"ENSINO MÉDIO COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;6;1023;"GINÁSIO DE ESPORTES DE ALFREDO CHAVES";4;"FEMININO";3;"CASADO";6064;"60 a 64 anos";6;"ENSINO MÉDIO COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;6;1023;"GINÁSIO DE ESPORTES DE ALFREDO CHAVES";2;"MASCULINO";1;"SOLTEIRO";5054;"50 a 54 anos";7;"SUPERIOR INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";4;"FEMININO";3;"CASADO";4549;"45 a 49 anos";3;"ENSINO FUNDAMENTAL INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2124;"21 a 24 anos";7;"SUPERIOR INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;0;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;41;1236;"SALÃO PAROQUIAL DA IGREJA DE NOSSA SENHORA DA CONCEIÇÃO";4;"FEMININO";1;"SOLTEIRO";2124;"21 a 24 anos";3;"ENSINO FUNDAMENTAL INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;85;1244;"CRECHE PEQUERRUCHOS";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos";5;"ENSINO MÉDIO INCOMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;2;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;38;1244;"CRECHE PEQUERRUCHOS";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos";5;"ENSINO MÉDIO INCOMPLETO";2;"Preta";1;"Cisgênero";2;"NÃO";2;"NÃO";"Obrigatório";1;1;0;0
"13/09/2024";"14:34:53";2024;"ES";"56057";"ALFREDO CHAVES";12;3;1015;"EMEF ANA ARAÚJO";4;"FEMININO";3;"CASADO";6064;"60 a 64 anos";8;"SUPERIOR COMPLETO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";-1;"NÃO INFORMADO";"Obrigatório";2;0;0;0
