DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;QT_APTOS;QT_SECOES_PRINCIPAIS;QT_SECOES_AGREGADAS;QT_SECOES_NAO_INSTALADAS;QT_TOTAL_SECOES;QT_COMPARECIMENTO;QT_ELEITORES_SECOES_NAO_INSTALADAS;QT_ABSTENCOES;ST_VOTO_EM_TRANSITO;QT_VOTOS;QT_VOTOS_CONCORRENTES;QT_TOTAL_VOTOS_VALIDOS;QT_VOTOS_NOMINAIS_VALIDOS;QT_TOTAL_VOTOS_LEG_VALIDOS;QT_VOTOS_LEG_VALIDOS;QT_VOTOS_NOM_CONVR_LEG_VALIDOS;QT_TOTAL_VOTOS_ANULADOS;QT_VOTOS_NOMINAIS_ANULADOS;QT_VOTOS_LEGENDA_ANULADOS;QT_TOTAL_VOTOS_ANUL_SUBJUD;QT_VOTOS_NOMINAIS_ANUL_SUBJUD;QT_VOTOS_LEGENDA_ANUL_SUBJUD;QT_VOTOS_BRANCOS;QT_TOTAL_VOTOS_NULOS;QT_VOTOS_NULOS;QT_VOTOS_NULOS_TECNICOS;QT_VOTOS_ANULADOS_APU_SEP;HH_ULTIMA_TOTALIZACAO;DT_ULTIMA_TOTALIZACAO
19/01/2026;14:01:37;2016;2;Eleição Ordinária;1;220;Eleições Municipais 2016;02/10/2016;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;11;Prefeito;11969;36;2;0;38;10198;0;1771;N;10198;9660;9660;9660;0;0;0;0;0;0;0;0;0;154;384;384;0;0;18:10:32;02/10/2016
19/01/2026;14:01:37;2016;2;Eleição Ordinária;1;220;Eleições Municipais 2016;02/10/2016;M;ES;56057;ALFREDO CHAVES;56057;ALFREDO CHAVES;12;13;Vereador;11969;36;2;0;38;10198;0;1771;N;10198;9813;9813;9291;522;522;0;0;0;0;0;0;0;176;209;209;0;0;18:10:32;02/10/2016
