"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Nota Fiscal";"041256174";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";32996464;21409133;"20/10/2020";"IMP. SANTINHOS 7·5X10·5 CM VEREADORES";"2625,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"12/12/2020";1831776749;"ES";"Nota Fiscal";"0002";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";36479920;23993740;"12/11/2020";"GASOLINA TIPO C GRANEL";"181,06"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1846969468;"ES";"Outro";"000007";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";38235532;25442336;"13/11/2020";"PRESTAÇÃO DE SERVIÇO COMO ASSITENTE DE CAMPANHA";"500,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"12/12/2020";1831797308;"ES";"Nota Fiscal";"0003";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";36495184;24007050;"04/11/2020";"GASOLINA SHELL V POWER ADITIVADA";"132,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1831811298;"ES";"Nota Fiscal";"0003";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";36306779;23848345;"03/11/2020";"GASOLINA TIPO C GRANEL";"225,02"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Recibo";"0011";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";37211442;24592484;"13/11/2020";"SERVIÇO DE PANFLETAGEM";"1045,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832978912;"ES";"Outro";"42522131";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";1;"Transferência eletrônica";33289548;21607064;"11/11/2020";"CABO ELEITORAL";"867,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832950618;"ES";"Outro";"2";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";33306458;21617799;"14/11/2020";"CABO ELEITORAL";"445,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Fatura";"041074139";2;"Fundo Especial de Financiamento de Campanha";20420000;"Despesa com Impulsionamento de Conteúdos";1;"Financeiro";1;"Transferência eletrônica";37211438;24592462;"16/10/2020";"IMPUSSIONAMENTO FACEBOOK";"500,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1846969468;"ES";"Nota Fiscal";"000002";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";38235528;25442323;"12/11/2020";"GASOLINA  C ADTIVADA V POWER | GASOLINA C COMUM";"2022,56"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832982921;"ES";"Nota Fiscal";"41377129";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33169777;21524497;"23/10/2020";"ADESIVO LEI 50X100 | ADESIVO LEIT 15X10 | ADESIVO PERFURADO 40X80 | CONF DE ADESIVO PERFURADO 30X60";"200,16"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"10/12/2020";1843669824;"ES";"#NULO";"043682387";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";35687899;23336596;"03/12/2020";"#NULO";"16,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1846969468;"ES";"Outro";"00012";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";38235537;25442335;"13/11/2020";"PRESTAÇÃO DE SERVIÇOS COMO ASSITENTE DE CAMPANHA";"1000,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Nota Fiscal";"042441450";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";37211427;24592469;"10/11/2020";"SANTINHO 10X7";"1080,01"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832980472;"ES";"Cupom Fiscal";"42587713";2;"Fundo Especial de Financiamento de Campanha";20150000;"Alimentação";1;"Financeiro";1;"Transferência eletrônica";33194645;21541594;"12/11/2020";"COMPRA DE PÃP";"16,99"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832980472;"ES";"Outro";"1";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";1;"Transferência eletrônica";33194644;21541595;"13/11/2020";"CONTRATO PRESTAÇÃO DE SERVIÇO";"850,01"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Fatura";"041091590";2;"Fundo Especial de Financiamento de Campanha";20260000;"Criação e inclusão de páginas na internet";1;"Financeiro";1;"Transferência eletrônica";37211424;24592482;"16/10/2020";"CONTRATO PARA REGISTRO DE DOMÍNIO DO REGISTRO.BR";"40,00"
