"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1831783021;"ES";"Nota Fiscal";"042531496";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";36334801;23872500;"11/11/2020";"ADESIVO PERFURADO";"117,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832979304;"ES";"Nota Fiscal";"41339629";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33200327;21545521;"22/10/2020";"ADESIVO LEITOSO | CONF DE ADESIVO MICRO PERFURADO 30X40";"30,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"10/12/2020";1843767706;"ES";"Nota Fiscal";"000002";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";35686457;23335212;"27/10/2020";"5 PERFURADOS 70X40 CM";"65,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1831773307;"ES";"Nota Fiscal";"042531141";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";36296618;23839947;"11/11/2020";"ADESIVOS PERFURADOS 70X40";"39,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1846969468;"ES";"Outro";"000008";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";38235526;25442338;"13/11/2020";"PRESTAÇÃO DE SERVIÇO COM OASSITENTE DE CAMPANHA";"1300,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Outro";"42623938";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";1;"Transferência eletrônica";32996470;21409137;"13/11/2020";"PREST DE SERVIÇO DE PUBLICIDADE EM REDE SOCIAIS";"1000,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"12/12/2020";1831776749;"ES";"Nota Fiscal";"042529970";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";36479921;23993741;"11/11/2020";"ADESIVOS PERFURADOS";"195,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832960267;"ES";"Nota Fiscal";"41959220";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33191452;21539062;"03/11/2020";"ADESIVO POLITICO VINIL TAM 60X30 CM";"120,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Nota Fiscal";"041255738";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";32996457;21409131;"20/10/2020";"ADESIVO  PERFURADO TAM 70X35CM | ADESIVO  PERFURADO TAM 80X40CM | ADESIVO  VINIL TAM 30X15 | ADESIVO PERFURADO TAM 60X30CM | ADESIVO VINIL REDONDO TAM 35X35 | ADESIVO VINIL REDONDO TAMANHO 15X15";"3354,75"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Recibo";"0008";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";37211443;24592486;"13/11/2020";"SERVIÇO DE PANFLETAGEM";"1045,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832983323;"ES";"Nota Fiscal";"042586862";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33203631;21548378;"12/11/2020";"IMP ADESIVO VINIL TAM 35X35CM";"60,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Nota Fiscal";"041255907";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";1;"Transferência eletrônica";32996433;21409132;"20/10/2020";"CRI DE CONT PARA CAMAP DAS ARTES PARA PROP E PUBLI";"1400,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Outro";"042624193";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";1;"Transferência eletrônica";32996465;21409145;"13/11/2020";"SERVIÇO CONTABIL ELEITORAL";"4510,25"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"10/12/2020";1843669824;"ES";"Nota Fiscal";"000001";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";35687898;23336594;"09/10/2020";"1000 IMPRESSAO DE ADESIVO POLITICO PRAG/ADES 5X5CM | 10000 IMPRESSAO SANTINHO COUCHÊ 80G TAM 75X105MM | IMPRESSAO DE ADESIVO POLITICO VINIL TAM 15X15 | IMPRESSAO DE ADESIVO POLITICO VINIL TAM 53X10";"1596,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832958175;"ES";"Nota Fiscal";"041077974";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33200951;21545991;"16/10/2020";"IMP ADESIVO VINIL TAM 15X15 CM";"75,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Outro";"60";2;"Fundo Especial de Financiamento de Campanha";20400000;"Pré-instalação física de comitê de campanha";1;"Financeiro";0;"Cheque";32996475;21409139;"09/11/2020";"LOCAÇÃO DE COMITÊ";"5500,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Outro";"78";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";0;"Cheque";32996459;21409144;"09/11/2020";"SERVIÇO CONTABIL";"4000,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1846969468;"ES";"Outro";"000007";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";38235538;25442337;"13/11/2020";"PRESTAÇÃO DE SERVIÇO COMO ASSITENTE DE CAMPANHA";"1000,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"10/12/2020";1843767706;"ES";"Nota Fiscal";"000001";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";35686458;23335211;"13/10/2020";"10000 IMPRESSAO SANTINHO COUCHE 80G TAM 75X105MM | IMPRESSAO DE ADESIVO POLITICO PERFURADO TAM 60X30C | IMPRESSAO DE ADESIVO POLITICO VINIL TAM 15X15 | IMPRESSAO DE ADESIVO POLITICO VINIL TAM 30X15";"926,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Nota Fiscal";"042626513";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";32996458;21409136;"13/11/2020";"IMP ADESIVO TAM  | IMP ADESIVO VINIL TAM 15X15CM";"940,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Nota Fiscal";"041256427";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";32996452;21409140;"20/10/2020";"IMP ADESIVO  VINIL TAM 15X15 | IMP ADESIVO VINIL  35X35 | IMP ADESIVO VINIL REDONDO TAM 35X35";"1060,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1831814507;"ES";"Nota Fiscal";"042530916";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";36322174;23860902;"11/11/2020";"PERFURADO 70X40 CM";"26,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Nota Fiscal";"042774679";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";1;"Transferência eletrônica";37211444;24592497;"17/11/2020";"GASOLINA SHELL V POWER ADITIVADA | GASOLINA TIPO C GRANEL";"1147,76"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Recibo";"0010";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";37211447;24592485;"13/11/2020";"SERVIÇO DE MOTORISTA";"2000,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Recibo";"0002";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";37211431;24592496;"11/11/2020";"SERVIÇO DE PANFLETAGEM";"1045,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"27/11/2020";1831777686;"ES";"Nota Fiscal";"042531957";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33747516;21911377;"11/11/2020";"ADESIVOS PERFURADOS 70X40";"130,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Outro";"042623842";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";1;"Transferência eletrônica";32996476;21409143;"13/11/2020";"AUXILIAR CONTABIL";"3000,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"12/12/2020";1831776749;"ES";"Recibo";"003";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";36479919;23993739;"14/11/2020";"SERVIÇOS DE PANFLETAGEM PRESTADO NO DIA 14/11";"83,87"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832983323;"ES";"Outro";"042586571";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";1;"Transferência eletrônica";33203632;21548377;"12/11/2020";"PRESTAÇÃO DE SERVIÇO ELEITORAL";"807,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832964065;"ES";"Nota Fiscal";"041285003";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33190260;21538051;"21/10/2020";"IMP DE ADESIVO VINIL TAM 35X35CM";"78,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Nota Fiscal";"041944527";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";32996447;21409141;"03/11/2020";"IMP ADESIVO VINIL TAM 15X15CM  | IMP ADESIVO VINIL TAM 35X35 CM";"585,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832963370;"ES";"Nota Fiscal";"41397047";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33170811;21525336;"23/10/2020";"IMP ADESIVO TAM 60X30 CM";"60,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"12/12/2020";1831794505;"ES";"Nota Fiscal";"004";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";0;"Cheque";36544735;24050106;"25/11/2020";"10 ADESIVOS PERFURADOS 76 X 40 CM";"98,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832938808;"ES";"Nota Fiscal";"341";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";32996434;21409135;"22/10/2020";"PLACA DE IONA EM IMPRESSÃO DIGITAL";"300,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"10/12/2020";1843669824;"ES";"Nota Fiscal";"000002";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";35687897;23336595;"29/10/2020";"IMPRESSAO DE ADESIVO POLITICO VINIL | IMPRESSAO DE FAIXA TAM 80X40CM";"688,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832943853;"ES";"Cupom Fiscal";"42534386";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";1;"Transferência eletrônica";33187815;21536657;"11/11/2020";"MORTADELA | MORTADELA | MUSSARELA | MUSSARELA | PÃO FRANCES";"17,16"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1831774482;"ES";"Nota Fiscal";"001";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";36271343;23819181;"09/11/2020";"SANTINHO - 10X7 - 4/1 CORES - COUCHE 80";"185,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Nota Fiscal";"1";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";0;"Cheque";37211425;24592463;"27/10/2020";"ADESIVOS A8 X 11 CM | ADESIVOS PERFURADOS 70X40 CM | PLACA LONA CO ESTRUTURA DE MADEIRA PARA COMITE";"2710,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Recibo";"0002";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";37211448;24592495;"30/10/2020";"SERVIÇO DE PANFLETAGEM";"1045,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/11/2020";1832964065;"ES";"Nota Fiscal";"041938590";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";33190261;21538052;"03/11/2020";"IMP ADESIVO VINIL TAM 35X35";"36,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Recibo";"0005";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";37211437;24592489;"13/11/2020";"SERVIÇO DE PANFLETAGEM";"1045,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1831788017;"ES";"Nota Fiscal";"0002";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";0;"Cheque";36311319;23851997;"03/11/2020";"ADESIVOS PERFURADOS";"52,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Recibo";"0004";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";37211453;24592490;"13/11/2020";"SERVIÇO DE PANFLETAGEM";"1045,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"29/03/2021";1843717158;"ES";"Nota Fiscal";"040403975";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";40523590;27308730;"05/10/2020";"MASCARS PERSONALIZADAS";"140,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"25/11/2020";1832958378;"ES";"Cupom Fiscal";"41258727";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";1;"Transferência eletrônica";33424070;21694058;"20/10/2020";"REFEIÇÃO";"87,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Nota Fiscal";"042446240";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";37211428;24592470;"10/11/2020";"SANTINHO 10X7 - 4/1 CORES COUCHE 80 (ARLETE) | SANTINHO 10X7 - 4/1 CORES COUCHE 80 (CLEOMIR) | SANTINHO 10X7 - 4/1 CORES COUCHE 80 (MINEIRO) | SANTINSANTINHO 10X7 - 4/1 CORES COUCHE 80 (SERGIO)";"500,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Nota Fiscal";"042447715";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";37211432;24592468;"10/11/2020";"200 ADESIVOS MOTO 18X11 | 200 ADESIVOS PARABRISA 64X11 | BANNER 1·70X1·50";"920,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"14/12/2020";1832350138;"ES";"Nota Fiscal";"042511785";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";37211440;24592475;"11/11/2020";"10 ADESIVOS PERFURADOS CANDIDATO NILTON BELMOK | 15 ADESIVOS PERFURADOS CANDIDATO ADILSON ROVETA  | 30 ADESIVOS MOTO 18X11 CM CANDIDATO CLEOMIR  | 500 PRAGUINHAS CANDIDATO ADILSON ROVETA";"370,00"
"29/08/2026";"15:00:14";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"24/11/2020";1832950618;"ES";"Outro";"1";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";33306456;21617798;"14/11/2020";"CABO ELEITORAL";"450,00"
