DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;SQ_CANDIDATO;NR_ORDEM_CANDIDATO;CD_TIPO_BEM_CANDIDATO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO;DT_ULTIMA_ATUALIZACAO;HH_ULTIMA_ATUALIZACAO
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002150;1;12;Casa;1 CASA RESIDENCIAL NA RUA CEARÁ 40 EM MARATAIZES/ ES;50000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002150;2;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;1 CARRO FIAT 2011 PLACA 6097;20000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002217;1;13;Terreno;01 TERRENO RURAL COM 06 ALQ. COM MORADIA EM RIB. STO. ANTON.;250000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002217;2;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;CAMINONETE L200, PLACA MTQ 1287;30000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002218;1;13;Terreno;TERRENO COM 7 ALQUEIRES COM CASA;200000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002218;2;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;AUTOMOVEL FIAT UNO 2010;12000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002219;1;13;Terreno;01 TERRENO NA QUADRA Q, N. 13, LOT. JARD. MAYLY,ITAPOTANGA, PIÚMA;7482,96;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002219;2;13;Terreno;01 TERRENO DE N.03, Q D, AV. GET. VAR. SN, ALF. CHAVES, C/OBRA EM CONSTRUÇÃO;19800,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002219;3;61;Depósito bancário em conta corrente no País;SALDO NO BANCO DO BRASIL;11987,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002219;4;61;Depósito bancário em conta corrente no País;SALDO BANCÁRIO BANCO DO BRASIL;25000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002223;1;13;Terreno;01 TERRENO COM 19 HECTARES;25000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002224;1;12;Casa;UMA CASA RESIDÊNCIAL LOTE 29 QUADRA N, LOTEAMENTO JARDIM NERLI, PIUMA/ES;10000,00;19/07/2019;11:48:29
23/07/2021;17:30:58;2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;07/10/2012;ES;56057;ALFREDO CHAVES;80000002224;2;12;Casa;RESIDENCIAL, SITUADA NA RUA MOACIR SAUDINO, ALFREDO CHAVES. REGISTRO NO2- 1, LIVRO 2- E FOLHA 136/ RECIBO DE HERENÇA E DOAÇÃO DE SEUS IRMÃOS EM 27/06/85. NO VALOR EM DEZ/ 93 CRUZEIROS 97.000.000,00;35934,50;19/07/2019;11:48:29
