distrito,2004,2008,2012,2016,2020,2024
Sede,29.81416698879011,33.874702886247874,42.08524874328307,49.939831038798495,40.28627578366087,57.27999398767473
Crubixá,24.144329896907216,33.10511363636363,28.101664145234494,41.47172995780591,34.00624024960999,47.38811594202898
Ibitiruí,23.6736137667304,30.600000000000005,33.50935960591133,50.332200647249195,39.854003407155034,63.3078947368421
Matilde,19.25771812080537,38.01812865497076,27.505802707930368,50.45046904315197,39.723091976516635,57.8256120527307
Ribeirão do Cristo,8.8,38.2,9.4,35.9,58.2,72.3
Sagrada Família,18.69625468164794,24.70467445742905,30.277854671280274,39.08692810457516,32.22807625649913,57.761231281198
São Bento de Urânia,19.206779661016945,29.05731414868106,12.565726681127982,45.59571150097466,43.957661290322584,67.62236842105263
