DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_SITUACAO_JULGAMENTO,DS_SITUACAO_JULGAMENTO,CD_SITUACAO_CASSACAO,DS_SITUACAO_CASSACAO,CD_SITUACAO_DCONST_DIPLOMA,DS_SITUACAO_DCONST_DIPLOMA,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS,NM_TIPO_DESTINACAO_VOTOS,QT_VOTOS_NOMINAIS_VALIDOS,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,LADO
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001966355,10222,JOSIMAR PIUMBINI,JOSIMAR PIUMBINI,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,10,REPUBLICANOS,REPUBLICANOS,-1,#NULO#,#NULO#,#NULO#,80001702479,PARTIDO ISOLADO,REPUBLICANOS,N,532,Válido,532,2,ELEITO POR QP,nossos
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001947152,40000,NILTON CESAR BELMOK,NILTON BELMOK,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,40,PSB,Partido Socialista Brasileiro,-1,#NULO#,#NULO#,#NULO#,80001700012,PARTIDO ISOLADO,PSB,N,391,Válido,391,2,ELEITO POR QP,adversarios
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001947278,20123,ARMANDO ZANATA INGLE RIBEIRO,ZANATA,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,20,PODE,Podemos,-1,#NULO#,#NULO#,#NULO#,80001700030,PARTIDO ISOLADO,PODE,N,382,Válido,382,2,ELEITO POR QP,adversarios
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001947148,40111,CHARLES GAIGHER,CHARLES GAIGHER,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,40,PSB,Partido Socialista Brasileiro,-1,#NULO#,#NULO#,#NULO#,80001700012,PARTIDO ISOLADO,PSB,N,382,Válido,382,3,ELEITO POR MÉDIA,adversarios
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001982779,11555,HERMES LUIZ MARCHIORI ATHAIDES,HERMES MARCHIORI,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,11,PP,PROGRESSISTAS,-1,#NULO#,#NULO#,#NULO#,80001704441,PARTIDO ISOLADO,PP,N,363,Válido,363,2,ELEITO POR QP,nossos
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001947333,55444,ODAIR AUGUSTO BASSO,ODAIR BASSO,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,55,PSD,Partido Social Democrático,-1,#NULO#,#NULO#,#NULO#,80001700035,PARTIDO ISOLADO,PSD,N,354,Válido,354,2,ELEITO POR QP,adversarios
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001966351,10123,ALEFY JUNIOR CLAUDIO SIMOES,PROFESSOR ALEFY,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,10,REPUBLICANOS,REPUBLICANOS,-1,#NULO#,#NULO#,#NULO#,80001702479,PARTIDO ISOLADO,REPUBLICANOS,N,351,Válido,351,3,ELEITO POR MÉDIA,nossos
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001982781,11123,RENAN DE JESUS BOLDRINI,RENAN BOLDRINI,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,PARTIDO ISOLADO,11,PP,PROGRESSISTAS,-1,#NULO#,#NULO#,#NULO#,80001704441,PARTIDO ISOLADO,PP,N,333,Válido,333,3,ELEITO POR MÉDIA,nossos
26/08/2026,02:17:09,2024,2,Eleição Ordinária,1,619,ELEIÇÕES MUNICIPAIS 2024,06/10/2024,M,ES,56057,ALFREDO CHAVES,56057,ALFREDO CHAVES,12,13,Vereador,80001982698,45000,WARLEI FERRARINI PESSALI,WARLEI PESSALI,#NULO,-3,#NE,-3,#NE,2,DEFERIDO,-1,#NULO#,-1,#NULO#,FEDERAÇÃO,45,PSDB,Partido da Social Democracia Brasileira,100,Federação PSDB CIDADANIA,PSDB/CIDADANIA,CIDADANIA / PSDB,80001704427,FEDERAÇÃO,Federação PSDB CIDADANIA (PSDB / CIDADANIA),N,261,Válido,261,3,ELEITO POR MÉDIA,nossos
